probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.3674007],3,3,15,10,[5.9962664],474
[0.7557212],8,3,8,13,[5.1401324],475
[0.42250276],8,3,18,10,[5.9934387],476
[0.3831495],3,3,19,12,[6.0001974],477
[0.74544847],8,3,12,18,[6.009348],478
[0.5836118],3,3,11,6,[5.998701],479
[0.545371],5,8,5,18,[5.074525],480
[0.58727336],5,3,6,5,[5.125353],481
[0.3997884],1,5,1,15,[5.310892],482
[0.5973393],8,3,16,8,[5.083559],483
[0.3601373],8,3,10,17,[5.9904957],484
[0.503254],4,3,4,12,[5.549062],485
[0.808573],3,1,1,3,[4.702192],486
[0.3657298],3,3,2,6,[5.9967933],487
[0.37319967],1,3,11,16,[5.9889355],488
[0.45864165],8,3,18,12,[5.996876],489
[0.82346076],8,1,1,8,[4.3275757],490
[0.46735302],8,1,17,11,[5.968894],491
[0.64510626],4,5,4,15,[5.484852],492
[0.50587994],5,4,14,11,[6.0045333],493
[0.2834234],8,8,2,13,[6.001269],494
[0.30085334],4,4,11,10,[5.9824915],495
[0.4611147],8,3,17,12,[5.9880433],496
[0.330121],4,4,10,11,[5.9832287],497
[0.33273315],1,4,16,11,[5.990224],498
[0.30448788],4,4,10,16,[5.987159],499
[0.40162954],8,4,10,17,[5.988641],500
[0.2801226],1,4,7,1,[5.12932],501
[0.34154445],8,4,12,18,[5.996152],502
[0.5878231],5,4,7,14,[6.0073795],503
[0.42039734],8,4,8,10,[5.060581],504
[0.3398201],3,4,12,7,[5.9775376],505
[0.4213155],1,8,1,2,[5.2358065],506
[0.59348357],8,1,17,11,[5.9713736],507
[0.2994437],4,4,10,7,[5.983703],508
[0.25727972],4,5,14,12,[5.9867334],509
[0.6815861],1,8,11,17,[5.97768],510
[0.36249414],4,4,16,19,[5.993061],511
[0.52004015],8,1,11,8,[5.0619063],512
[0.3724747],8,3,17,12,[5.9702163],513
[0.3224294],1,1,2,7,[5.9871545],514
[0.5678243],1,4,19,11,[5.9933925],515
