probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.14592269],11,11,6,3,[5.8638625],388
[0.14586535],11,11,1,17,[5.944252],389
[0.1454949],11,11,14,7,[5.909501],390
[0.14474578],11,11,1,8,[5.910689],391
[0.14383812],11,11,11,18,[5.8471026],392
[0.14588058],11,11,13,17,[5.927429],393
[0.14751546],11,11,12,7,[5.843745],394
[0.14808056],11,11,6,8,[5.9012527],395
[0.14866006],11,11,4,17,[5.916565],396
[0.14851414],11,11,10,15,[5.9018135],397
[0.14814904],11,11,16,11,[5.804242],398
[0.15055224],11,11,17,11,[5.7844315],399
[0.1554491],11,11,6,10,[5.906817],400
[0.15957257],11,11,8,7,[5.841256],401
[0.16265818],11,11,18,7,[5.9141207],402
[0.1647246],11,11,9,14,[5.8971415],403
[0.16647726],11,11,17,4,[5.902627],404
[0.16705221],11,11,13,8,[5.8976173],405
[0.16742514],11,11,12,19,[5.8996754],406
[0.16720071],11,11,9,4,[5.8947916],407
[0.16650137],11,11,1,15,[5.9670835],408
[0.16588148],11,11,16,11,[5.7892585],409
[0.16844037],11,11,9,8,[5.8336477],410
[0.17023166],11,11,14,19,[5.9611692],411
[0.17183563],11,11,16,3,[5.854168],412
[0.17230037],11,11,14,19,[5.9608774],413
[0.1727408],11,11,18,6,[5.973283],414
[0.17314012],11,11,10,2,[5.8894553],415
[0.17270005],11,11,13,5,[5.9498806],416
[0.1722067],11,11,2,8,[5.8633094],417
[0.17135258],11,11,10,12,[5.852541],418
[0.16964972],11,11,15,19,[5.9599752],419
[0.16824336],11,11,1,17,[5.9095755],420
[0.1662775],11,11,3,17,[5.818578],421
[0.16342264],11,11,12,15,[5.8953514],422
[0.16066015],11,11,9,16,[5.8712935],423
[0.15767404],11,11,7,5,[5.8871613],424
[0.15427378],11,11,19,8,[5.883448],425
[0.15111755],11,11,13,19,[5.9608417],426
[0.14811718],11,11,15,3,[5.876],427
[0.14483666],11,11,6,8,[5.8779287],428
[0.14204213],11,11,16,13,[5.934141],429
[0.13909683],11,11,14,3,[5.8736076],430
[0.13619098],11,11,19,1,[5.96878],431
[0.13370262],11,11,7,4,[5.8912582],432
[0.13090631],11,11,10,1,[5.9212427],433
[0.12792836],11,11,14,18,[5.9699717],434
[0.12594798],11,11,1,3,[5.877226],435
[0.12333843],11,11,6,19,[5.9570646],436
[0.12119699],11,11,19,4,[5.9522285],437
[0.1192345],11,11,6,10,[5.9084697],438
[0.11727292],3,3,10,5,[5.898579],439
[0.11833768],3,3,18,14,[5.9682016],440
[0.11979473],3,3,5,11,[5.854047],441
[0.12105394],3,3,4,16,[5.924718],442
[0.12108991],3,3,18,7,[5.906913],443
[0.12180056],3,3,3,2,[5.833852],444
[0.12403519],3,3,19,4,[5.947254],445
[0.12606221],3,3,4,19,[5.946271],446
[0.12742013],3,3,18,14,[5.9659724],447
[0.12889993],3,3,6,8,[5.8721237],448
[0.13048945],3,3,10,13,[5.8918285],449
[0.13099483],3,3,4,15,[5.945497],450
[0.13114825],3,3,6,10,[5.8860197],451
[0.13113147],3,3,15,7,[5.887537],452
[0.13006425],3,3,18,6,[5.969429],453
[0.12985371],3,3,9,4,[5.897027],454
[0.12949967],3,3,6,7,[5.884402],455
[0.12840076],3,3,16,5,[5.918832],456
