probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.33809504],1,18,1,10,[4.990903],547
[0.3153138],5,1,5,17,[5.094863],548
[0.2863536],16,4,16,13,[5.181506],549
[0.21929163],14,16,18,15,[5.803985],550
[0.30824968],14,1,14,17,[5.2447987],551
[0.27533433],12,1,12,17,[5.0327864],552
[0.28723785],4,12,13,6,[5.986747],553
[0.37274274],14,14,10,14,[5.1509905],554
[0.2890575],18,14,19,8,[5.969409],555
[0.32992578],14,16,15,10,[5.9301457],556
[0.33236468],5,14,5,6,[5.0876703],557
[0.19026643],18,18,11,19,[5.9784713],558
[0.40842474],1,14,1,19,[5.032921],559
[0.39968136],4,14,4,19,[5.247945],560
[0.718737],1,14,7,1,[5.0459266],561
[0.28263983],10,10,17,3,[5.923637],562
[0.3264099],10,14,17,10,[5.7335258],563
[0.36196563],1,12,11,17,[5.9941626],564
[0.9255826],5,16,5,16,[4.178133],565
[0.37777507],16,10,10,16,[4.6994286],566
[0.49540064],10,14,15,10,[5.657605],567
[0.51383877],10,10,8,11,[5.994336],568
[0.6446919],12,10,12,10,[4.4277654],569
[0.48315918],10,10,11,13,[5.9976864],570
[0.44269603],10,10,2,6,[5.979401],571
[0.8158525],5,10,5,8,[5.10085],572
[0.8726252],5,10,10,5,[4.2405224],573
[0.86398494],10,10,19,17,[6.031273],574
[0.8998751],5,12,12,5,[4.2668962],575
[0.9211875],10,10,14,18,[6.0249796],576
[0.88830143],10,10,19,6,[6.0371995],577
[0.92835426],10,10,14,18,[6.0298977],578
[0.6511031],16,10,16,2,[5.360482],579
[0.93348855],5,10,5,9,[5.0736327],580
[0.5993134],12,10,12,7,[5.07343],581
[0.69012916],16,10,7,15,[6.013992],582
[0.7752192],5,16,7,5,[5.047757],583
[0.7769095],10,10,15,10,[5.206815],584
[0.8604269],16,10,16,8,[5.0621467],585
[0.78193694],16,10,3,16,[5.0347624],586
[0.8477798],12,10,12,9,[5.06688],587
[0.8072405],1,10,10,1,[4.363326],588
[0.775973],5,10,5,19,[5.042452],589
